Country name,Regional indicator,Region,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
El Salvador,Latin America and Caribbean,South America,6061,0.065,6188,5933,9054,0.762,66402,0.888,-0.110,0.688,2430,0.845,0.675,0.565,0.615,0.116,0.160,3085
Mauritius,Sub-Saharan Africa,Africa,6049,0.059,6165,5933,10008,0.905,66701,0.867,-0.054,0.789,2430,1178,0.996,0.574,0.590,0.153,0.096,2462
Latvia,Central and Eastern Europe,Europe,6032,0.036,6103,5961,10315,0.927,67100,0.715,-0.162,0.800,2430,1285,1047,0.587,0.405,0.082,0.089,2536
Colombia,Latin America and Caribbean,South America,6012,0.061,6132,5892,9557,0.847,68001,0.837,-0.135,0.841,2430,1021,0.866,0.615,0.554,0.100,0.063,2794
Hungary,Central and Eastern Europe,Europe,5992,0.047,6085,5899,10358,0.943,68000,0.755,-0.186,0.876,2430,1301,1083,0.615,0.454,0.067,0.040,2432
Thailand,Southeast Asia,Asia,5985,0.047,6077,5893,9805,0.888,67401,0.884,0.287,0.895,2430,1107,0.957,0.596,0.611,0.375,0.028,2309
Nicaragua,Latin America and Caribbean,South America,5972,0.083,6134,5810,8620,0.864,67657,0.836,0.020,0.664,2430,0.693,0.904,0.604,0.553,0.201,0.176,2841
Japan,East Asia,Asia,5940,0.040,6020,5861,10611,0.884,75100,0.796,-0.258,0.638,2430,1389,0.949,0.838,0.504,0.020,0.192,2048
Argentina,Latin America and Caribbean,South America,5929,0.056,6040,5819,9962,0.898,69000,0.828,-0.182,0.834,2430,1162,0.980,0.646,0.544,0.069,0.067,2461
Portugal,Western Europe,Europe,5929,0.055,6037,5821,10421,0.879,72600,0.892,-0.244,0.887,2430,1323,0.939,0.760,0.621,0.029,0.033,2225
Honduras,Latin America and Caribbean,South America,5919,0.082,6081,5758,8648,0.812,67300,0.857,0.081,0.809,2430,0.703,0.787,0.593,0.578,0.241,0.083,2934
Croatia,Central and Eastern Europe,Europe,5882,0.048,5975,5788,10217,0.924,70799,0.754,-0.118,0.939,2430,1251,1039,0.703,0.453,0.111,0.000,2325
Philippines,Southeast Asia,Asia,5880,0.052,5982,5778,9076,0.830,62000,0.917,-0.097,0.742,2430,0.853,0.828,0.426,0.651,0.125,0.126,2872
South Korea,East Asia,Asia,5845,0.042,5928,5763,10651,0.799,73900,0.672,-0.083,0.727,2430,1403,0.758,0.801,0.353,0.134,0.135,2262
Peru,Latin America and Caribbean,South America,5840,0.075,5988,5692,9458,0.832,68250,0.822,-0.154,0.891,2430,0.986,0.833,0.623,0.536,0.087,0.031,2744
Bosnia and Herzegovina,Central and Eastern Europe,Europe,5813,0.050,5911,5715,9590,0.870,68098,0.706,0.113,0.931,2430,1032,0.919,0.618,0.395,0.261,0.005,2583
Moldova,Commonwealth of Independent States,Europe,5766,0.046,5856,5677,9454,0.857,65699,0.822,-0.079,0.918,2430,0.985,0.888,0.542,0.536,0.137,0.013,2665
Ecuador,Latin America and Caribbean,South America,5764,0.057,5875,5653,9313,0.821,68800,0.842,-0.124,0.843,2430,0.935,0.806,0.640,0.560,0.107,0.062,2653
Kyrgyzstan,Commonwealth of Independent States,Europe,5744,0.046,5834,5653,8538,0.893,64401,0.935,0.119,0.908,2430,0.665,0.971,0.501,0.673,0.266,0.020,2648
Greece,Western Europe,Europe,5723,0.046,5813,5632,10279,0.823,72600,0.582,-0.288,0.823,2430,1273,0.811,0.760,0.243,0.000,0.074,2561
Bolivia,Latin America and Caribbean,South America,5716,0.053,5819,5613,9046,0.810,63901,0.875,-0.077,0.839,2430,0.842,0.782,0.486,0.600,0.138,0.064,2805
Mongolia,East Asia,Asia,5677,0.042,5760,5595,9400,0.935,62500,0.708,0.116,0.856,2430,0.966,1065,0.442,0.397,0.263,0.053,2492
Paraguay,Latin America and Caribbean,South America,5653,0.092,5832,5473,9448,0.893,65900,0.876,0.028,0.882,2430,0.983,0.970,0.549,0.602,0.206,0.037,2306
Montenegro,Central and Eastern Europe,Europe,5581,0.054,5686,5475,9940,0.858,68699,0.708,-0.034,0.812,2430,1155,0.891,0.637,0.397,0.166,0.081,2254
Dominican Republic,Latin America and Caribbean,South America,5545,0.071,5685,5405,9802,0.853,66102,0.860,-0.133,0.714,2430,1106,0.879,0.555,0.581,0.101,0.144,2178
North Cyprus,Western Europe,Europe,5536,0.051,5636,5435,10576,0.820,73898,0.795,0.012,0.626,2430,1377,0.806,0.801,0.503,0.196,0.200,1653
Belarus,Commonwealth of Independent States,Europe,5534,0.047,5625,5442,9853,0.910,66253,0.650,-0.180,0.627,2430,1124,1007,0.560,0.326,0.070,0.199,2247
Russia,Commonwealth of Independent States,Europe,5477,0.033,5541,5413,10189,0.903,64703,0.718,-0.111,0.845,2430,1241,0.992,0.511,0.409,0.115,0.060,2148
Hong Kong S.A.R. of China,East Asia,Asia,5477,0.049,5573,5380,11000,0.836,76820,0.717,0.067,0.403,2430,1525,0.841,0.893,0.408,0.232,0.342,1236
Tajikistan,Commonwealth of Independent States,Europe,5466,0.034,5532,5400,8091,0.860,64281,0.832,-0.056,0.553,2430,0.508,0.895,0.498,0.548,0.152,0.247,2619
Vietnam,Southeast Asia,Asia,5411,0.039,5488,5334,8973,0.850,68034,0.940,-0.098,0.796,2430,0.817,0.873,0.616,0.679,0.124,0.091,2211
Libya,Middle East and North Africa,Africa,5410,0.076,5558,5262,9622,0.827,62300,0.771,-0.087,0.667,2430,1044,0.821,0.435,0.474,0.131,0.174,2331
Malaysia,Southeast Asia,Asia,5384,0.049,5480,5289,10238,0.817,67102,0.895,0.125,0.839,2430,1259,0.797,0.587,0.624,0.270,0.064,1784
Indonesia,Southeast Asia,Asia,5345,0.056,5454,5235,9365,0.811,62236,0.873,0.542,0.867,2430,0.954,0.786,0.433,0.598,0.541,0.046,1987
Congo (Brazzaville),Sub-Saharan Africa,Africa,5342,0.097,5533,5151,8117,0.636,58221,0.695,-0.068,0.745,2430,0.518,0.392,0.307,0.381,0.144,0.124,3476
China,East Asia,Asia,5339,0.029,5397,5281,9673,0.811,69593,0.904,-0.146,0.755,2430,1061,0.785,0.665,0.636,0.093,0.117,1982
Ivory Coast,Sub-Saharan Africa,Africa,5306,0.078,5460,5152,8551,0.644,50114,0.741,-0.016,0.794,2430,0.669,0.409,0.052,0.438,0.177,0.092,3469
Armenia,Commonwealth of Independent States,Europe,5283,0.058,5397,5168,9487,0.799,67055,0.825,-0.168,0.629,2430,0.996,0.758,0.585,0.540,0.079,0.198,2127
Nepal,South Asia,Asia,5269,0.070,5406,5132,8120,0.774,64233,0.782,0.152,0.727,2430,0.519,0.702,0.496,0.488,0.287,0.135,2642
Bulgaria,Central and Eastern Europe,Europe,5266,0.054,5371,5160,10016,0.931,67000,0.788,-0.096,0.932,2430,1181,1055,0.583,0.494,0.125,0.005,1823
Maldives,South Asia,Asia,5198,0.072,5339,5057,9826,0.913,70600,0.854,0.024,0.825,2430,1115,1015,0.697,0.575,0.204,0.073,1520
Azerbaijan,Commonwealth of Independent States,Europe,5171,0.040,5250,5091,9569,0.836,65656,0.814,-0.223,0.506,2430,1025,0.841,0.541,0.526,0.043,0.276,1919
Cameroon,Sub-Saharan Africa,Africa,5142,0.074,5288,4996,8189,0.710,53515,0.731,0.026,0.848,2430,0.543,0.556,0.159,0.425,0.205,0.058,3195
Senegal,Sub-Saharan Africa,Africa,5132,0.068,5266,4998,8118,0.710,59802,0.695,-0.046,0.801,2430,0.518,0.558,0.357,0.381,0.158,0.088,3071
Albania,Central and Eastern Europe,Europe,5117,0.059,5234,5001,9520,0.697,68999,0.785,-0.030,0.901,2430,1008,0.529,0.646,0.491,0.168,0.024,2250
North Macedonia,Central and Eastern Europe,Europe,5101,0.051,5202,5001,9693,0.805,65474,0.751,0.038,0.905,2430,1068,0.772,0.535,0.450,0.212,0.022,2042
Ghana,Sub-Saharan Africa,Africa,5088,0.067,5219,4958,8580,0.727,57586,0.807,0.123,0.848,2430,0.680,0.595,0.287,0.517,0.268,0.058,2684
Niger,Sub-Saharan Africa,Africa,5074,0.102,5273,4875,7098,0.641,53780,0.806,0.018,0.693,2430,0.162,0.402,0.167,0.516,0.200,0.157,3470
